safra,estagio,parcela,dose,bloco,atributo,valor
2023_2024,V6,15,50,1,rgb_glcmw5_homogeneity,0.768179
2023_2024,V6,15,50,1,rgb_glcmw7_asm,0.17499
2023_2024,V6,15,50,1,rgb_glcmw7_contrast,0.586996
2023_2024,V6,15,50,1,rgb_glcmw7_entropy,2.07717
2023_2024,V6,15,50,1,rgb_glcmw7_correlation,0.752456
2023_2024,V6,15,50,1,rgb_glcmw7_homogeneity,0.767985
2023_2024,V6,118,50,2,NDVI,0.52666
2023_2024,V6,118,50,2,GNDVI,0.278193
2023_2024,V6,118,50,2,NDRE,0.132451
2023_2024,V6,118,50,2,CIrededge,0.310683
2023_2024,V6,118,50,2,SAVI,0.496499
2023_2024,V6,118,50,2,EVI,0.747509
2023_2024,V6,118,50,2,VARI,0.420551
2023_2024,V6,118,50,2,TGI,0.196008
2023_2024,V6,118,50,2,spec_mean,0.379802
2023_2024,V6,118,50,2,spec_std,0.226664
2023_2024,V6,118,50,2,spec_p10,0.126751
2023_2024,V6,118,50,2,spec_p50,0.333549
2023_2024,V6,118,50,2,spec_p90,0.714607
2023_2024,V6,118,50,2,glcm_asm,0.012822
2023_2024,V6,118,50,2,glcm_contrast,2.74753
2023_2024,V6,118,50,2,glcm_correlation,0.911624
2023_2024,V6,118,50,2,glcm_variance,15.5445
2023_2024,V6,118,50,2,glcm_idm,0.528093
2023_2024,V6,118,50,2,glcm_sum_average,15.6805
2023_2024,V6,118,50,2,glcm_sum_variance,210.877
2023_2024,V6,118,50,2,glcm_sum_entropy,3.37411
2023_2024,V6,118,50,2,glcm_entropy,4.54424
2023_2024,V6,118,50,2,glcm_diff_entropy,1.41956
2023_2024,V6,118,50,2,glcm_imc1,-0.32326
2023_2024,V6,118,50,2,glcm_imc2,0.909177
2023_2024,V6,118,50,2,glcm_mcc,0.913141
2023_2024,V6,118,50,2,glcm_dissimilarity,1.22861
2023_2024,V6,118,50,2,glcm_inertia,2.74753
2023_2024,V6,118,50,2,glcm_cluster_shade,-108.183
2023_2024,V6,118,50,2,glcm_cluster_prominence,7693.52
2023_2024,V6,118,50,2,glcm_homogeneity,0.573731
2023_2024,V6,118,50,2,glcmw3_asm,0.321122
2023_2024,V6,118,50,2,glcmw3_contrast,0.724177
2023_2024,V6,118,50,2,glcmw3_entropy,1.34068
2023_2024,V6,118,50,2,glcmw3_correlation,0.612996
2023_2024,V6,118,50,2,glcmw3_homogeneity,0.738087
2023_2024,V6,118,50,2,glcmw5_asm,0.199282
2023_2024,V6,118,50,2,glcmw5_contrast,0.725335
2023_2024,V6,118,50,2,glcmw5_entropy,1.9104
2023_2024,V6,118,50,2,glcmw5_correlation,0.749377
2023_2024,V6,118,50,2,glcmw5_homogeneity,0.737882
2023_2024,V6,118,50,2,glcmw7_asm,0.148525
2023_2024,V6,118,50,2,glcmw7_contrast,0.725495
2023_2024,V6,118,50,2,glcmw7_entropy,2.24305
2023_2024,V6,118,50,2,glcmw7_correlation,0.797962
2023_2024,V6,118,50,2,glcmw7_homogeneity,0.737935
2023_2024,V6,118,50,2,rgb_glcm_asm,0.0171706
2023_2024,V6,118,50,2,rgb_glcm_contrast,2.28803
2023_2024,V6,118,50,2,rgb_glcm_correlation,0.903037
2023_2024,V6,118,50,2,rgb_glcm_variance,11.7985
2023_2024,V6,118,50,2,rgb_glcm_idm,0.560041
2023_2024,V6,118,50,2,rgb_glcm_sum_average,12.8502
2023_2024,V6,118,50,2,rgb_glcm_sum_variance,136.767
2023_2024,V6,118,50,2,rgb_glcm_sum_entropy,3.26579
2023_2024,V6,118,50,2,rgb_glcm_entropy,4.3596
2023_2024,V6,118,50,2,rgb_glcm_diff_entropy,1.3426
2023_2024,V6,118,50,2,rgb_glcm_imc1,-0.325648
2023_2024,V6,118,50,2,rgb_glcm_imc2,0.903632
2023_2024,V6,118,50,2,rgb_glcm_mcc,0.90342
2023_2024,V6,118,50,2,rgb_glcm_dissimilarity,1.10232
